"POL","CO","CON","AB","ABN","DIS","DISN","EIC","EICSUM","EICSUMN","TYPE","EMS","CANCER_TWE","CHRONIC_TWE","ACUTE_TWE"
108883,33,RIVERSIDE,MD,MOJAVE DESERT,SC,SOUTH COAST AQMD,67066202620000,670,MANAGED BURNING AND DISPOSAL,A,0,,0,0
108883,13,IMPERIAL,SS,SALTON SEA,IMP,IMPERIAL COUNTY APCD,67066202620000,670,MANAGED BURNING AND DISPOSAL,A,1304.228964665523156089193825042881646654,,0.0531730660740999329781960952806132439115,0.0446653755022439437016847200357151248856
108883,53,TRINITY,NC,NORTH COAST,NCU,NORTH COAST UNIFIED AQMD,67066202620000,670,MANAGED BURNING AND DISPOSAL,A,5.09297119725557461406518010291595197256,,0.000207639073599786962412963963752281146959,0.000174416821823821048426889729551916163445
108883,6,COLUSA,SV,SACRAMENTO VALLEY,COL,COLUSA COUNTY APCD,67066202620000,670,MANAGED BURNING AND DISPOSAL,A,781.413370840480274442538593481989708406,,0.031858014140593618494884972010844329273,0.0267607318780986395357033764891092365894
108883,9,EL DORADO,MC,MOUNTAIN COUNTIES,ED,EL DORADO COUNTY AQMD,67066202620000,670,MANAGED BURNING AND DISPOSAL,A,0,,0,0
108883,38,SAN FRANCISCO,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,67066202620000,670,MANAGED BURNING AND DISPOSAL,A,0,,0,0
108883,17,LAKE,LC,LAKE COUNTY,LAK,LAKE COUNTY AQMD,69999500000000,699,OTHER (MISCELLANEOUS PROCESSES),A,0,,0,0
108883,19,LOS ANGELES,SC,SOUTH COAST,SC,SOUTH COAST AQMD,69999500000000,699,OTHER (MISCELLANEOUS PROCESSES),A,0,,0,0
108883,21,MARIN,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,69999500000000,699,OTHER (MISCELLANEOUS PROCESSES),A,5096.976451058471616,,0.2078023667261281643835616438356164383571,0.17455398804994765808219178082191780822
108883,39,SAN JOAQUIN,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,69999500000000,699,OTHER (MISCELLANEOUS PROCESSES),A,0,,0,0
108883,35,SAN BENITO,NCC,NORTH CENTRAL COAST,MBU,MONTEREY BAY AIR RESOURCES DISTRICT,69999500000000,699,OTHER (MISCELLANEOUS PROCESSES),A,0,,0,0
108883,31,PLACER,LT,LAKE TAHOE,PLA,PLACER COUNTY APCD,69999500000000,699,OTHER (MISCELLANEOUS PROCESSES),A,0,,0,0
108883,58,YUBA,SV,SACRAMENTO VALLEY,FR,FEATHER RIVER AQMD,69999500000000,699,OTHER (MISCELLANEOUS PROCESSES),A,0,,0,0
108883,47,SISKIYOU,NEP,NORTHEAST PLATEAU,SIS,SISKIYOU COUNTY APCD,69999500000000,699,OTHER (MISCELLANEOUS PROCESSES),A,0,,0,0
108883,16,KINGS,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,64564654000000,645,UNPAVED ROAD DUST,A,0,,0,0
108883,50,STANISLAUS,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,64564654000000,645,UNPAVED ROAD DUST,A,0,,0,0
108883,12,HUMBOLDT,NC,NORTH COAST,NCU,NORTH COAST UNIFIED AQMD,67066402000000,670,MANAGED BURNING AND DISPOSAL,A,297.924834858290560142825262218254853827,,0.0121463158373406131826005080813052370282,0.0102029053033661150733844267882963991037
108883,38,SAN FRANCISCO,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,67066402000000,670,MANAGED BURNING AND DISPOSAL,A,0,,0,0
74839,7,CONTRA COSTA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,67066402000000,670,MANAGED BURNING AND DISPOSAL,A,0,,0,0
108883,23,MENDOCINO,NC,NORTH COAST,MEN,MENDOCINO COUNTY AQMD,67066402000000,670,MANAGED BURNING AND DISPOSAL,A,1818.665364316000892657888864092836420441,,0.0741465005021200624860522204864985494312,0.0622830604217808524882838652086587815222
