"POL","CO","CON","AB","ABN","DIS","DISN","EIC","EICSUM","EICSUMN","TYPE","EMS","CANCER_TWE","CHRONIC_TWE","ACUTE_TWE"
108883,44,SANTA CRUZ,NCC,NORTH CENTRAL COAST,MBU,MONTEREY BAY AIR RESOURCES DISTRICT,92092016000000,920,GEOGENIC SOURCES,N,8,,0.000326157860404435746901500326157860404437,0.000273972602739726027397260273972602739727
108883,51,SUTTER,SV,SACRAMENTO VALLEY,FR,FEATHER RIVER AQMD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,36,SAN BERNARDINO,SC,SOUTH COAST,SC,SOUTH COAST AQMD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,6,COLUSA,SV,SACRAMENTO VALLEY,COL,COLUSA COUNTY APCD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,57,YOLO,SV,SACRAMENTO VALLEY,YS,YOLO-SOLANO AQMD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,14,INYO,GBV,GREAT BASIN VALLEYS,GBU,GREAT BASIN UNIFIED APCD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,45,SHASTA,SV,SACRAMENTO VALLEY,SHA,SHASTA COUNTY AQMD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,11,GLENN,SV,SACRAMENTO VALLEY,GLE,GLENN COUNTY APCD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,21,MARIN,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,24,MERCED,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,94094054000000,940,WINDBLOWN DUST,N,0,,0,0
108883,39,SAN JOAQUIN,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,94094054000000,940,WINDBLOWN DUST,N,0,,0,0
108883,9,EL DORADO,LT,LAKE TAHOE,ED,EL DORADO COUNTY AQMD,93093402000000,930,WILDFIRES,N,0,,0,0
108883,28,NAPA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,93093402000000,930,WILDFIRES,N,104444.53816734,,4.25817588744863013698630136986301369866,3.57686774545684931506849315068493150687
