eic,eicsumn,SUM(EMS),pol
81080814000000,AIRCRAFT,859.657513513884,7439965.0
81081014000000,AIRCRAFT,53.61655996401338,7439965.0
81081014500000,AIRCRAFT,23.73804412511108,7439965.0
86088711007634,OFF-ROAD EQUIPMENT,2.3635130576,7439965.0
86090511003554,OFF-ROAD EQUIPMENT,0.0331741492,7439965.0
86090511007002,OFF-ROAD EQUIPMENT,0.0011544877,7439965.0
86088711008214,OFF-ROAD EQUIPMENT,0.0970598656,7439965.0
86088712102250,OFF-ROAD EQUIPMENT,0.03010885,7439965.0
86088711002174,OFF-ROAD EQUIPMENT,0.0491931232,7439965.0
87089312103950,FARM EQUIPMENT,0.009950995,7439965.0
87089311008434,FARM EQUIPMENT,0.0449677226,7439965.0
86088712100960,OFF-ROAD EQUIPMENT,0.208581805,7439965.0
86088712100840,OFF-ROAD EQUIPMENT,0.00267326,7439965.0
86088712100930,OFF-ROAD EQUIPMENT,0.49701831,7439965.0
86088711000874,OFF-ROAD EQUIPMENT,0.001304437,7439965.0
86088711001134,OFF-ROAD EQUIPMENT,0.1551097503,7439965.0
86088711001104,OFF-ROAD EQUIPMENT,0.1701485679,7439965.0
86088911001034,OFF-ROAD EQUIPMENT,0.0001060617,7439965.0
86088912105660,OFF-ROAD EQUIPMENT,0.00203305,7439965.0
86088901106070,OFF-ROAD EQUIPMENT,0.0001241,7439965.0
86088901108700,OFF-ROAD EQUIPMENT,0.00319302,7439965.0
86088911009694,OFF-ROAD EQUIPMENT,0.0073499539,7439965.0
86089212101800,OFF-ROAD EQUIPMENT,0.000178412,7439965.0
86089212103390,OFF-ROAD EQUIPMENT,0.00099134,7439965.0
86089212103870,OFF-ROAD EQUIPMENT,0.018216712,7439965.0
86089212108560,OFF-ROAD EQUIPMENT,0.000260756,7439965.0
86089212109700,OFF-ROAD EQUIPMENT,0.002358484,7439965.0
86089612105210,OFF-ROAD EQUIPMENT,0.9046352939,7439965.0
86090511000394,OFF-ROAD EQUIPMENT,1.022605462,7439965.0
86090601103030,OFF-ROAD EQUIPMENT,0.20883402,7439965.0
86088612100210,OFF-ROAD EQUIPMENT,0.181867455,7439965.0
86088611000204,OFF-ROAD EQUIPMENT,0.1215747475,7439965.0
86088611002934,OFF-ROAD EQUIPMENT,0.15397233,7439965.0
86088612105540,OFF-ROAD EQUIPMENT,0.04209764,7439965.0
86089712109930,OFF-ROAD EQUIPMENT,0.006526273,7439965.0
85087411001052,OFF-ROAD RECREATIONAL VEHICLES,0.1747628614,7439965.0
86088412109400,OFF-ROAD EQUIPMENT,10.3256675,7439965.0
86088712109360,OFF-ROAD EQUIPMENT,3.582300165,7439965.0
86088611005594,OFF-ROAD EQUIPMENT,0.0150997726,7439965.0
86088612105840,OFF-ROAD EQUIPMENT,0.31382189,7439965.0
86090312101230,OFF-ROAD EQUIPMENT,0.02827801,7439965.0
86090312104140,OFF-ROAD EQUIPMENT,0.00064532,7439965.0
86090311005744,OFF-ROAD EQUIPMENT,0.0009057913,7439965.0
86089712102800,OFF-ROAD EQUIPMENT,0.001358311,7439965.0
86090211007614,OFF-ROAD EQUIPMENT,3.8917743794,7439965.0
86088811001162,OFF-ROAD EQUIPMENT,0.6487416268,7439965.0
86089212100630,OFF-ROAD EQUIPMENT,0.005449888,7439965.0
86088712106230,OFF-ROAD EQUIPMENT,0.04159978,7439965.0
