"POL","CO","CON","AB","ABN","DIS","DISN","EIC","EICSUM","EICSUMN","TYPE","EMS","CANCER_TWE","CHRONIC_TWE","ACUTE_TWE"
108883,53,TRINITY,NC,NORTH COAST,NCU,NORTH COAST UNIFIED AQMD,33036611000000,330,PETROLEUM MARKETING,SA,0,,0,0
108883,9,EL DORADO,MC,MOUNTAIN COUNTIES,ED,EL DORADO COUNTY AQMD,33036611000000,330,PETROLEUM MARKETING,SA,0,,0,0
108883,20,MADERA,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,33036611000000,330,PETROLEUM MARKETING,SA,0,,0,0
108883,8,DEL NORTE,NC,NORTH COAST,NCU,NORTH COAST UNIFIED AQMD,33036611000000,330,PETROLEUM MARKETING,SA,0,,0,0
108883,54,TULARE,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,33036611000000,330,PETROLEUM MARKETING,SA,0,,0,0
108883,22,MARIPOSA,MC,MOUNTAIN COUNTIES,MPA,MARIPOSA COUNTY APCD,33036611000000,330,PETROLEUM MARKETING,SA,0,,0,0
108883,35,SAN BENITO,NCC,NORTH CENTRAL COAST,MBU,MONTEREY BAY AIR RESOURCES DISTRICT,42041860000000,420,FOOD AND AGRICULTURE,SA,0,,0,0
108883,5,CALAVERAS,MC,MOUNTAIN COUNTIES,CAL,CALAVERAS COUNTY APCD,42041860000000,420,FOOD AND AGRICULTURE,SA,0,,0,0
108883,58,YUBA,SV,SACRAMENTO VALLEY,FR,FEATHER RIVER AQMD,42041860000000,420,FOOD AND AGRICULTURE,SA,0,,0,0
108883,9,EL DORADO,LT,LAKE TAHOE,ED,EL DORADO COUNTY AQMD,42041860000000,420,FOOD AND AGRICULTURE,SA,0,,0,0
108883,33,RIVERSIDE,MD,MOJAVE DESERT,MOJ,MOJAVE DESERT AQMD,42041860000000,420,FOOD AND AGRICULTURE,SA,22.15023357540147392542342227501312,,0.000903059098801429954559011019040000000005,0.000758569642993201161829569255993600000003
108883,31,PLACER,MC,MOUNTAIN COUNTIES,PLA,PLACER COUNTY APCD,42041860000000,420,FOOD AND AGRICULTURE,SA,0,,0,0
108883,14,INYO,GBV,GREAT BASIN VALLEYS,GBU,GREAT BASIN UNIFIED APCD,42042060000000,420,FOOD AND AGRICULTURE,SA,0,,0,0
108883,34,SACRAMENTO,SV,SACRAMENTO VALLEY,SAC,SACRAMENTO METROPOLITAN AQMD,42042060000000,420,FOOD AND AGRICULTURE,SA,0,,0,0
108883,46,SIERRA,MC,MOUNTAIN COUNTIES,NSI,NORTHERN SIERRA AQMD,42042060000000,420,FOOD AND AGRICULTURE,SA,0,,0,0
108883,44,SANTA CRUZ,NCC,NORTH CENTRAL COAST,MBU,MONTEREY BAY AIR RESOURCES DISTRICT,42042060000000,420,FOOD AND AGRICULTURE,SA,0,,0,0
108883,55,TUOLUMNE,MC,MOUNTAIN COUNTIES,TUO,TUOLUMNE COUNTY APCD,42042060000000,420,FOOD AND AGRICULTURE,SA,0,,0,0
108883,3,AMADOR,MC,MOUNTAIN COUNTIES,AMA,AMADOR COUNTY APCD,42042060000000,420,FOOD AND AGRICULTURE,SA,0,,0,0
108883,27,MONTEREY,NCC,NORTH CENTRAL COAST,MBU,MONTEREY BAY AIR RESOURCES DISTRICT,42042060000000,420,FOOD AND AGRICULTURE,SA,0,,0,0
108883,13,IMPERIAL,SS,SALTON SEA,IMP,IMPERIAL COUNTY APCD,42042060000000,420,FOOD AND AGRICULTURE,SA,0,,0,0
108883,7,CONTRA COSTA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,42042060000000,420,FOOD AND AGRICULTURE,SA,1734.186231294094853632,,0.0707023088427142389771689497716894977172,0.0593899394278799607408219178082191780825
108883,9,EL DORADO,LT,LAKE TAHOE,ED,EL DORADO COUNTY AQMD,42042060000000,420,FOOD AND AGRICULTURE,SA,0,,0,0
108883,36,SAN BERNARDINO,SC,SOUTH COAST,SC,SOUTH COAST AQMD,42042060000000,420,FOOD AND AGRICULTURE,SA,0,,0,0
108883,48,SOLANO,SV,SACRAMENTO VALLEY,YS,YOLO-SOLANO AQMD,33039011000000,330,PETROLEUM MARKETING,SA,82.899496387996003298966495544935927424,,0.003379790296314253232997655558746572383577,0.0028390238489039727157180306693471208022
108883,21,MARIN,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,33039011000000,330,PETROLEUM MARKETING,SA,54.2081358243020972376,,0.002210051199620926991095890410958904109598,0.00185644300768157867252054794520547945207
108883,7,CONTRA COSTA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,33039011000000,330,PETROLEUM MARKETING,SA,179.25588881097684656688,,0.007308214644935455257945205479452054794536,0.00613890030174578241667397260273972602741
108883,34,SACRAMENTO,SV,SACRAMENTO VALLEY,SAC,SACRAMENTO METROPOLITAN AQMD,33039011000000,330,PETROLEUM MARKETING,SA,0,,0,0
108883,31,PLACER,SV,SACRAMENTO VALLEY,PLA,PLACER COUNTY APCD,33039011000000,330,PETROLEUM MARKETING,SA,0,,0,0
108883,12,HUMBOLDT,NC,NORTH COAST,NCU,NORTH COAST UNIFIED AQMD,33039011000000,330,PETROLEUM MARKETING,SA,5605.0918852662533060205422612004864,,0.2285180970835882789473476133888000000009,0.1919552015502141543157719952465920000015
108883,4,BUTTE,SV,SACRAMENTO VALLEY,BUT,BUTTE COUNTY AQMD,33039011000000,330,PETROLEUM MARKETING,SA,148.4032072702714766047628775865188352,,0.006050359070053468550422491747656508284429,0.00508230161884491358235489306803146695892
108883,40,SAN LUIS OBISPO,SCC,SOUTH CENTRAL COAST,SLO,SAN LUIS OBISPO COUNTY APCD,33039011000000,330,PETROLEUM MARKETING,SA,89.916788984688898651441365141208,,0.003665883438710408457739781683839204174822,0.00307934208851674310450141661442493150685
108883,1,ALAMEDA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,33036816000000,330,PETROLEUM MARKETING,SA,0,,0,0
108883,48,SOLANO,SV,SACRAMENTO VALLEY,YS,YOLO-SOLANO AQMD,33036816000000,330,PETROLEUM MARKETING,SA,0,,0,0
