"POL","CO","CON","AB","ABN","DIS","DISN","EIC","EICSUM","EICSUMN","TYPE","EMS","CANCER_TWE","CHRONIC_TWE","ACUTE_TWE"
108883,1,ALAMEDA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,5007001100000,50,MANUFACTURING AND INDUSTRIAL,SP,0.158921874,,0.00000647920229941291585127201565557729941295,0.00000544252993150684931506849315068493150687
108883,1,ALAMEDA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,33037811000000,330,PETROLEUM MARKETING,SP,39.765392336,,0.001621224410306588388780169602087410306597,0.00136182850465753424657534246575342465754
108883,1,ALAMEDA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,5007002400000,50,MANUFACTURING AND INDUSTRIAL,SP,0.350323909,,0.00001428261207599478147423352902804957599484,0.00001199739414383561643835616438356164383567
74839,1,ALAMEDA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,13013201300000,130,INCINERATORS,SP,0.449199295,,0.001538353750000000000000000000000000000007,0.00001972248397435897435897435897435897435903
108883,1,ALAMEDA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,24099580000000,240,PRINTING,SP,0.472400483,,0.00001925964134866275277234181343770384866284,0.00001617809873287671232876712328767123287673
108883,1,ALAMEDA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,23021683500000,230,COATINGS AND RELATED PROCESS SOLVENTS,SP,79.3656365,,0.003235715773809523809523809523809523809537,0.00271800125000000000000000000000000000001
108883,1,ALAMEDA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,33099511000000,330,PETROLEUM MARKETING,SP,9833.003022072,,0.4008889033786692759295499021526418786723,0.3367466788380821917808219178082191780842
108883,1,ALAMEDA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,4001001100000,40,PETROLEUM REFINING (COMBUSTION),SP,0.10335997,,0.00000421395833333333333333333333333333333336,0.00000353972500000000000000000000000000000002
108883,1,ALAMEDA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,49932149990000,499,OTHER (INDUSTRIAL PROCESSES),SP,19.672194284,,0.000802030099641226353555120678408349641231,0.000673705283698630136986301369863013698634
108883,4,BUTTE,SV,SACRAMENTO VALLEY,BUT,BUTTE COUNTY AQMD,33033014100000,330,PETROLEUM MARKETING,SP,0.035468,,0.00000144602087410306588388780169602087410307,0.00000121465753424657534246575342465753424658
108883,4,BUTTE,SV,SACRAMENTO VALLEY,BUT,BUTTE COUNTY AQMD,33033011200000,330,PETROLEUM MARKETING,SP,19.16,,0.000781148075668623613829093281148075668628,0.000656164383561643835616438356164383561647
108883,7,CONTRA COSTA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,32032612140000,320,PETROLEUM REFINING,SP,147.03384536,,0.005994530551206784083496412263535551206811,0.005035405663013698630136986301369863013718
108883,7,CONTRA COSTA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,32032410000000,320,PETROLEUM REFINING,SP,277.188054355,,0.0113008828422619047619047619047619047618,0.009492741587500000000000000000000000000034
